0,1,2,3,4
type,pre,rec,f1,acc
health,0.867888507,0.865245527,0.866565002,
covid,0.821556886,0.787299158,0.804063294,
asthma,0.780505415,0.82080486,0.800148038,
copd,0.941225861,0.926446281,0.933777593,
avg,0.852794167,0.849948957,0.851138482,0.838084755
5.829570532,,,,
5.828922033,,,,
5.900956392,,,,
