0,1,2,3,4
type,pre,rec,f1,acc
health,0.871158392,0.841644461,0.856147144,
covid,0.734315949,0.743305279,0.73878327,
asthma,0.697555637,0.725892179,0.71144186,
copd,0.899137931,0.861983471,0.880168776,
avg,0.800541977,0.793206348,0.796635263,0.783498624
2.501200199,,,,
2.49439311,,,,
2.479455709,,,,
2.491683006,,,,
